day,post_number,type,scheduled_time,content
1,1,client_case_study,08:00,"{{client_name}} recorded 6 podcast episodes in 4 hours yesterday.

Here's what that looks like:
• 6 months of content sorted
• 30+ social clips extracted
• Same-day delivery
• One day of their time

Most businesses spend weeks producing what we do in an afternoon.

The difference? Professional studio + live editing.

Want to see how it works? Tour is free.

#NottinghamBusiness #PodcastProduction #ContentStrategy"
1,2,behind_the_scenes,12:30,"Behind the scenes at StreamToday Studios.

[Photo of studio in action]

This is Studio One at 9am. Client is recording episode 4 of their series.

By 1pm they'll have:
✓ 4 recorded episodes
✓ All editing complete
✓ 20 social clips ready
✓ Files delivered

Live editing means zero post-production delay.

Questions about how it works? Drop them below.

#BehindTheScenes #PodcastStudio #Nottingham"
1,3,educational_tip,18:00,"Stop posting your podcast once.

One 30-minute episode = 20+ pieces of content:

1. Full episode (obviously)
2. 5x 60-second clips for LinkedIn
3. 5x Quote graphics for Instagram
4. 3x Twitter threads
5. 1x Blog post (transcript)
6. 1x Email newsletter
7. 2x YouTube Shorts
8. 1x TikTok compilation

Most businesses record and post once. That's 5% utilisation.

We help clients extract 100% of the value.

Want the full repurposing playbook? Comment ""PLAYBOOK"" and I'll send it.

#ContentStrategy #PodcastMarketing #B2BMarketing"
2,1,direct_ask,08:00,"I have studio time available and I want to fill it with interesting conversations.

If you're a Nottingham business owner and you've been thinking about:
• Starting a podcast
• Recording video content
• Building authority in your industry

Let's talk.

I'm offering complimentary 30-minute studio tours this week. No pitch, just show you the space and answer questions.

DM me or book directly: https://streamtoday.co.uk/book

#NottinghamBusiness #Podcast #ContentCreation"
2,2,testimonial,12:30,"""We recorded a quarter's worth of content in one morning.""

- {{client_name}}, {{client_title}}

This is why we built StreamToday.

Professional studio. Live editing. Same-day delivery.

Stop waiting weeks for content. Start publishing same day.

Book a tour: https://streamtoday.co.uk/book

#ClientTestimonial #PodcastStudio #Nottingham"
2,3,equipment_showcase,18:00,"The gear matters less than you think.

Yes, we have:
• Panasonic broadcast cameras
• Rode PodMic + Shure SM7B
• Sennheiser wireless lavs
• Professional lighting grid

But what makes content work is:
✓ Good conversation
✓ Proper preparation
✓ Consistent publishing
✓ Smart distribution

The equipment just removes excuses.

Want to see it in action? Tour is free.

#PodcastEquipment #VideoProduction #Nottingham"
3,1,industry_commentary,08:00,"Every B2B company in Nottingham should have a podcast.

Here's why:
• Builds authority faster than blogging
• Creates genuine connections with prospects
• Repurposes into 20+ content pieces
• Works while you sleep (evergreen)
• Your competitors aren't doing it yet

The barrier isn't equipment. It's studio access and production time.

We solved both.

Who's going to be the first in your industry?

#B2BMarketing #ThoughtLeadership #NottinghamBusiness"
3,2,client_case_study,12:30,"{{client_name}} recorded 6 podcast episodes in 4 hours yesterday.

Here's what that looks like:
• 6 months of content sorted
• 30+ social clips extracted
• Same-day delivery
• One day of their time

Most businesses spend weeks producing what we do in an afternoon.

The difference? Professional studio + live editing.

Want to see how it works? Tour is free.

#NottinghamBusiness #PodcastProduction #ContentStrategy"
3,3,behind_the_scenes,18:00,"Behind the scenes at StreamToday Studios.

[Photo of studio in action]

This is Studio One at 9am. Client is recording episode 4 of their series.

By 1pm they'll have:
✓ 4 recorded episodes
✓ All editing complete
✓ 20 social clips ready
✓ Files delivered

Live editing means zero post-production delay.

Questions about how it works? Drop them below.

#BehindTheScenes #PodcastStudio #Nottingham"
4,1,educational_tip,08:00,"Stop posting your podcast once.

One 30-minute episode = 20+ pieces of content:

1. Full episode (obviously)
2. 5x 60-second clips for LinkedIn
3. 5x Quote graphics for Instagram
4. 3x Twitter threads
5. 1x Blog post (transcript)
6. 1x Email newsletter
7. 2x YouTube Shorts
8. 1x TikTok compilation

Most businesses record and post once. That's 5% utilisation.

We help clients extract 100% of the value.

Want the full repurposing playbook? Comment ""PLAYBOOK"" and I'll send it.

#ContentStrategy #PodcastMarketing #B2BMarketing"
4,2,direct_ask,12:30,"I have studio time available and I want to fill it with interesting conversations.

If you're a Nottingham business owner and you've been thinking about:
• Starting a podcast
• Recording video content
• Building authority in your industry

Let's talk.

I'm offering complimentary 30-minute studio tours this week. No pitch, just show you the space and answer questions.

DM me or book directly: https://streamtoday.co.uk/book

#NottinghamBusiness #Podcast #ContentCreation"
4,3,testimonial,18:00,"""We recorded a quarter's worth of content in one morning.""

- {{client_name}}, {{client_title}}

This is why we built StreamToday.

Professional studio. Live editing. Same-day delivery.

Stop waiting weeks for content. Start publishing same day.

Book a tour: https://streamtoday.co.uk/book

#ClientTestimonial #PodcastStudio #Nottingham"
5,1,equipment_showcase,08:00,"The gear matters less than you think.

Yes, we have:
• Panasonic broadcast cameras
• Rode PodMic + Shure SM7B
• Sennheiser wireless lavs
• Professional lighting grid

But what makes content work is:
✓ Good conversation
✓ Proper preparation
✓ Consistent publishing
✓ Smart distribution

The equipment just removes excuses.

Want to see it in action? Tour is free.

#PodcastEquipment #VideoProduction #Nottingham"
5,2,industry_commentary,12:30,"Every B2B company in Nottingham should have a podcast.

Here's why:
• Builds authority faster than blogging
• Creates genuine connections with prospects
• Repurposes into 20+ content pieces
• Works while you sleep (evergreen)
• Your competitors aren't doing it yet

The barrier isn't equipment. It's studio access and production time.

We solved both.

Who's going to be the first in your industry?

#B2BMarketing #ThoughtLeadership #NottinghamBusiness"
5,3,client_case_study,18:00,"{{client_name}} recorded 6 podcast episodes in 4 hours yesterday.

Here's what that looks like:
• 6 months of content sorted
• 30+ social clips extracted
• Same-day delivery
• One day of their time

Most businesses spend weeks producing what we do in an afternoon.

The difference? Professional studio + live editing.

Want to see how it works? Tour is free.

#NottinghamBusiness #PodcastProduction #ContentStrategy"
6,1,behind_the_scenes,08:00,"Behind the scenes at StreamToday Studios.

[Photo of studio in action]

This is Studio One at 9am. Client is recording episode 4 of their series.

By 1pm they'll have:
✓ 4 recorded episodes
✓ All editing complete
✓ 20 social clips ready
✓ Files delivered

Live editing means zero post-production delay.

Questions about how it works? Drop them below.

#BehindTheScenes #PodcastStudio #Nottingham"
6,2,educational_tip,12:30,"Stop posting your podcast once.

One 30-minute episode = 20+ pieces of content:

1. Full episode (obviously)
2. 5x 60-second clips for LinkedIn
3. 5x Quote graphics for Instagram
4. 3x Twitter threads
5. 1x Blog post (transcript)
6. 1x Email newsletter
7. 2x YouTube Shorts
8. 1x TikTok compilation

Most businesses record and post once. That's 5% utilisation.

We help clients extract 100% of the value.

Want the full repurposing playbook? Comment ""PLAYBOOK"" and I'll send it.

#ContentStrategy #PodcastMarketing #B2BMarketing"
6,3,direct_ask,18:00,"I have studio time available and I want to fill it with interesting conversations.

If you're a Nottingham business owner and you've been thinking about:
• Starting a podcast
• Recording video content
• Building authority in your industry

Let's talk.

I'm offering complimentary 30-minute studio tours this week. No pitch, just show you the space and answer questions.

DM me or book directly: https://streamtoday.co.uk/book

#NottinghamBusiness #Podcast #ContentCreation"
7,1,testimonial,08:00,"""We recorded a quarter's worth of content in one morning.""

- {{client_name}}, {{client_title}}

This is why we built StreamToday.

Professional studio. Live editing. Same-day delivery.

Stop waiting weeks for content. Start publishing same day.

Book a tour: https://streamtoday.co.uk/book

#ClientTestimonial #PodcastStudio #Nottingham"
7,2,equipment_showcase,12:30,"The gear matters less than you think.

Yes, we have:
• Panasonic broadcast cameras
• Rode PodMic + Shure SM7B
• Sennheiser wireless lavs
• Professional lighting grid

But what makes content work is:
✓ Good conversation
✓ Proper preparation
✓ Consistent publishing
✓ Smart distribution

The equipment just removes excuses.

Want to see it in action? Tour is free.

#PodcastEquipment #VideoProduction #Nottingham"
7,3,industry_commentary,18:00,"Every B2B company in Nottingham should have a podcast.

Here's why:
• Builds authority faster than blogging
• Creates genuine connections with prospects
• Repurposes into 20+ content pieces
• Works while you sleep (evergreen)
• Your competitors aren't doing it yet

The barrier isn't equipment. It's studio access and production time.

We solved both.

Who's going to be the first in your industry?

#B2BMarketing #ThoughtLeadership #NottinghamBusiness"
